Sapmle	N-1	N-2	N-3	N-4	1-1	1-2	1-3	1-4	10-1	10-2	10-3	10-4	30-1	30-2	30-3	30-4
ADPG	1440 	524 	1210 	998 	4090 	4410 	4350 	4140 	4400 	2880 	4030 	3090 	4900 	4420 	4090 	5430 
RuBP	17300 	85100 	16900 	51700 	nan	221000 	214000 	274000 	143000 	247000 	81900 	71300 	304000 	174000 	212000 	174000 
F1,6BP/F2,6BP	45400 	38900 	30500 	27300 	27200 	49500 	27200 	23100 	39800 	27600 	17700 	21500 	26800 	16700 	22100 	16700 
F6P	704000 	770000 	632000 	712000 	833000 	881000 	877000 	934000 	1190000 	805000 	861000 	667000 	1070000 	927000 	801000 	989000 
PEP	135000 	146000 	102000 	142000 	44100 	46000 	40500 	38700 	48600 	40800 	51400 	39100 	28500 	37800 	32300 	25500 
Malate	21200000 	23300000 	20100000 	21400000 	19400000 	19900000 	19600000 	20500000 	19500000 	12100000 	14200000 	11200000 	17900000 	14500000 	14300000 	15800000 
2PGA/3PGA	238000 	286000 	275000 	290000 	354000 	285000 	337000 	363000 	393000 	289000 	295000 	263000 	454000 	367000 	419000 	359000 
GAP/DHAP	262000 	296000 	258000 	279000 	266000 	298000 	302000 	284000 	475000 	251000 	234000 	230000 	263000 	206000 	213000 	228000 
Sucrose	163000000 	159000000 	115000000 	157000000 	104000000 	84300000 	98200000 	107000000 	131000000 	103000000 	118000000 	98400000 	133000000 	134000000 	124000000 	154000000 
Glucose	90300 	89300 	65300 	88600 	125000 	101000 	120000 	120000 	123000 	85400 	95900 	81100 	75900 	67100 	75200 	89000 
Fructose	39600 	37600 	28800 	33700 	4110 	4650 	5090 	0 	15200 	19500 	0 	13800 	7070 	6300 	8530 	8680 
G1P/G6P	448000 	477000 	423000 	418000 	537000 	553000 	571000 	583000 	772000 	516000 	576000 	430000 	692000 	599000 	524000 	619000 
UDPG	295000 	321000 	273000 	292000 	254000 	271000 	289000 	294000 	343000 	217000 	257000 	192000 	275000 	228000 	227000 	259000 
BPGA	22300 	23800 	16900 	22400 	26300 	18600 	20400 	26000 	26900 	16900 	22400 	17700 	19300 	18400 	14200 	20400 
PGlyco	18600 	21200 	21200 	24100 	18300 	20700 	18700 	14600 	21100 	13700 	14300 	11700 	14700 	10800 	12900 	15800 
Glyce	667000 	644000 	468000 	576000 	662000 	550000 	634000 	637000 	1540000 	976000 	1150000 	907000 	1100000 	1150000 	1010000 	1260000 
Ser	6930000 	6990000 	4420000 	6610000 	6290000 	4980000 	5650000 	5630000 	6710000 	4010000 	4760000 	3970000 	3780000 	3580000 	3280000 	4090000 
Glu	7830000 	8340000 	6760000 	7250000 	6100000 	4650000 	5440000 	5530000 	7620000 	5000000 	5380000 	4380000 	4500000 	4750000 	4090000 	4680000 
aKG	6240000 	6100000 	3940000 	5360000 	6380000 	4800000 	5660000 	5990000 	7290000 	4390000 	5290000 	4490000 	4580000 	4550000 	4070000 	5240000 
R5P	187000 	205000 	164000 	198000 	655000 	659000 	508000 	578000 	529000 	315000 	344000 	272000 	623000 	391000 	540000 	495000 
Gln	657000 	677000 	422000 	613000 	1480000 	1120000 	1370000 	1330000 	1320000 	825000 	979000 	805000 	628000 	614000 	567000 	760000 
FAD	26800 	27500 	23200 	23400 	33500 	29300 	25300 	27400 	31400 	18300 	19800 	17300 	25800 	18700 	21800 	20300 
Gly	2280000 	2330000 	2270000 	3150000 	3070000 	2750000 	2840000 	2720000 	3670000 	2310000 	2740000 	2210000 	2670000 	2350000 	2060000 	2650000 
S7P	56900 	57900 	51100 	58300 	170000 	174000 	189000 	209000 	332000 	212000 	241000 	193000 	291000 	253000 	237000 	271000 
E4P	74200 	83500 	73500 	70000 	83300 	72300 	62400 	70100 	86200 	49000 	56900 	40800 	54200 	48200 	53300 	49200 
